"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","161","testSliderLeft()","","Thu Jan 22 13:09:25 UTC 2026","broken","Thu Jan 22 13:09:25 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testSliderLeft"
"","155","testHomePageChangeLanguageToEn()","","Thu Jan 22 13:09:25 UTC 2026","broken","Thu Jan 22 13:09:25 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageChangeLanguageToEn"
"","159","testClickFirstGameInSwiper()","","Thu Jan 22 13:09:25 UTC 2026","broken","Thu Jan 22 13:09:26 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testClickFirstGameInSwiper"
"","167","testFirstResultContainsWitcher()","","Thu Jan 22 13:09:26 UTC 2026","broken","Thu Jan 22 13:09:26 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFirstResultContainsWitcher"
"","158","testHomePageIsDisplayed()","","Thu Jan 22 13:09:25 UTC 2026","broken","Thu Jan 22 13:09:25 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageIsDisplayed"
"","175","testResetFilters()","","Thu Jan 22 13:09:26 UTC 2026","broken","Thu Jan 22 13:09:26 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testResetFilters"
"Test de qqch je sais plus","5115","testGoToGamePage()","","Thu Jan 22 13:09:15 UTC 2026","broken","Thu Jan 22 13:09:20 UTC 2026","","hesias.selenium.practices.tests.HomeTest","hesias.selenium.practices.tests.HomeTest","testGoToGamePage"
"Test de la suppression des filtres","639","testRemoveFilter()","","Thu Jan 22 13:09:23 UTC 2026","broken","Thu Jan 22 13:09:24 UTC 2026","","hesias.selenium.practices.tests.SearchTest","hesias.selenium.practices.tests.SearchTest","testRemoveFilter"
"","168","testSearchBindingOf()","","Thu Jan 22 13:09:26 UTC 2026","broken","Thu Jan 22 13:09:27 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchBindingOf"
"","165","testSearchCyberpunk()","","Thu Jan 22 13:09:26 UTC 2026","broken","Thu Jan 22 13:09:26 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchCyberpunk"
"","1505","contextLoads()","","Thu Jan 22 13:09:13 UTC 2026","passed","Thu Jan 22 13:09:15 UTC 2026","","hesias.selenium.practices.PracticesApplicationTests","hesias.selenium.practices.PracticesApplicationTests","contextLoads"
"Test de la recherche de Cyberpunk et de l'application du filtre GOG","657","testFilterGoodOldGames()","","Thu Jan 22 13:09:22 UTC 2026","broken","Thu Jan 22 13:09:22 UTC 2026","","hesias.selenium.practices.tests.SearchTest","hesias.selenium.practices.tests.SearchTest","testFilterGoodOldGames"
"Test de la recherche de Cyberpunk","665","testSearchCyberpunk()","","Thu Jan 22 13:09:22 UTC 2026","broken","Thu Jan 22 13:09:23 UTC 2026","","hesias.selenium.practices.tests.SearchTest","hesias.selenium.practices.tests.SearchTest","testSearchCyberpunk"
"Test de l'utilisation du slider de la page d'accueil vers la gauche","791","testSliderLeft()","","Thu Jan 22 13:09:20 UTC 2026","broken","Thu Jan 22 13:09:21 UTC 2026","","hesias.selenium.practices.tests.HomeTest","hesias.selenium.practices.tests.HomeTest","testSliderLeft"
"Test de l'affichage de la page d'accueil","692","testHomePageIsDisplayed()","","Thu Jan 22 13:09:21 UTC 2026","broken","Thu Jan 22 13:09:22 UTC 2026","","hesias.selenium.practices.tests.HomeTest","hesias.selenium.practices.tests.HomeTest","testHomePageIsDisplayed"
"Test de la recherche de Binding of","633","testSearchBindingOf()","","Thu Jan 22 13:09:24 UTC 2026","broken","Thu Jan 22 13:09:25 UTC 2026","","hesias.selenium.practices.tests.SearchTest","hesias.selenium.practices.tests.SearchTest","testSearchBindingOf"
"Test de la recherche de Witcher et vérif que le premier résultat contient Witcher","645","testFirstResultContainsWitcher()","","Thu Jan 22 13:09:24 UTC 2026","broken","Thu Jan 22 13:09:24 UTC 2026","","hesias.selenium.practices.tests.SearchTest","hesias.selenium.practices.tests.SearchTest","testFirstResultContainsWitcher"
"","165","testFilterGoodOldGames()","","Thu Jan 22 13:09:26 UTC 2026","broken","Thu Jan 22 13:09:26 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFilterGoodOldGames"
