"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","153","testClickFirstGameInSwiper()","","Thu Jan 22 15:33:24 UTC 2026","broken","Thu Jan 22 15:33:24 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testClickFirstGameInSwiper"
"","170","testFilterGoodOldGames()","","Thu Jan 22 15:33:24 UTC 2026","broken","Thu Jan 22 15:33:25 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFilterGoodOldGames"
"Test de la recherche de Binding of","4216","testSearchBindingOf()","","Thu Jan 22 15:33:19 UTC 2026","failed","Thu Jan 22 15:33:24 UTC 2026","","hesias.selenium.practices.tests.SearchTest","hesias.selenium.practices.tests.SearchTest","testSearchBindingOf"
"","159","testSliderLeft()","","Thu Jan 22 15:33:24 UTC 2026","broken","Thu Jan 22 15:33:24 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testSliderLeft"
"Test de qqch je sais plus","14390","testGoToGamePage()","","Thu Jan 22 15:32:29 UTC 2026","broken","Thu Jan 22 15:32:43 UTC 2026","","hesias.selenium.practices.tests.HomeTest","hesias.selenium.practices.tests.HomeTest","testGoToGamePage"
"Test de la recherche de Witcher et vérif que le premier résultat contient Witcher","5230","testFirstResultContainsWitcher()","","Thu Jan 22 15:33:14 UTC 2026","passed","Thu Jan 22 15:33:19 UTC 2026","","hesias.selenium.practices.tests.SearchTest","hesias.selenium.practices.tests.SearchTest","testFirstResultContainsWitcher"
"Test de l'affichage de la page d'accueil","2299","testHomePageIsDisplayed()","","Thu Jan 22 15:32:56 UTC 2026","passed","Thu Jan 22 15:32:59 UTC 2026","","hesias.selenium.practices.tests.HomeTest","hesias.selenium.practices.tests.HomeTest","testHomePageIsDisplayed"
"Test de la suppression des filtres","5330","testRemoveFilter()","","Thu Jan 22 15:33:09 UTC 2026","passed","Thu Jan 22 15:33:14 UTC 2026","","hesias.selenium.practices.tests.SearchTest","hesias.selenium.practices.tests.SearchTest","testRemoveFilter"
"","161","testSearchCyberpunk()","","Thu Jan 22 15:33:25 UTC 2026","broken","Thu Jan 22 15:33:25 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchCyberpunk"
"","156","testHomePageChangeLanguageToEn()","","Thu Jan 22 15:33:24 UTC 2026","broken","Thu Jan 22 15:33:24 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageChangeLanguageToEn"
"","155","testHomePageIsDisplayed()","","Thu Jan 22 15:33:24 UTC 2026","broken","Thu Jan 22 15:33:24 UTC 2026","","hesias.selenium.practices.correction.tests.HomeTest","hesias.selenium.practices.correction.tests.HomeTest","testHomePageIsDisplayed"
"","959","contextLoads()","","Thu Jan 22 15:32:28 UTC 2026","passed","Thu Jan 22 15:32:29 UTC 2026","","hesias.selenium.practices.PracticesApplicationTests","hesias.selenium.practices.PracticesApplicationTests","contextLoads"
"Test de la recherche de Cyberpunk et de l'application du filtre GOG","5379","testFilterGoodOldGames()","","Thu Jan 22 15:32:59 UTC 2026","passed","Thu Jan 22 15:33:04 UTC 2026","","hesias.selenium.practices.tests.SearchTest","hesias.selenium.practices.tests.SearchTest","testFilterGoodOldGames"
"","152","testResetFilters()","","Thu Jan 22 15:33:25 UTC 2026","broken","Thu Jan 22 15:33:25 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testResetFilters"
"","158","testFirstResultContainsWitcher()","","Thu Jan 22 15:33:25 UTC 2026","broken","Thu Jan 22 15:33:25 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testFirstResultContainsWitcher"
"","153","testSearchBindingOf()","","Thu Jan 22 15:33:25 UTC 2026","broken","Thu Jan 22 15:33:25 UTC 2026","","hesias.selenium.practices.correction.tests.SearchTest","hesias.selenium.practices.correction.tests.SearchTest","testSearchBindingOf"
"Test de la recherche de Cyberpunk","4958","testSearchCyberpunk()","","Thu Jan 22 15:33:04 UTC 2026","passed","Thu Jan 22 15:33:09 UTC 2026","","hesias.selenium.practices.tests.SearchTest","hesias.selenium.practices.tests.SearchTest","testSearchCyberpunk"
"Test de l'utilisation du slider de la page d'accueil vers la gauche","12870","testSliderLeft()","","Thu Jan 22 15:32:43 UTC 2026","broken","Thu Jan 22 15:32:56 UTC 2026","","hesias.selenium.practices.tests.HomeTest","hesias.selenium.practices.tests.HomeTest","testSliderLeft"
